Gss year for this respondent                       ,Respondent id number,Respondents sex,"Region of residence, age 16",Total family income,General happiness,Happiness of marriage
1982,606,Female,South atlantic,$8000 to 9999,Very happy,Not applicable
1982,607,Male,South atlantic,$20000 - 24999,Pretty happy,Pretty happy
1982,608,Female,E. nor. central,$10000 - 14999,Pretty happy,Not applicable
1982,609,Male,South atlantic,$25000 or more,Pretty happy,Pretty happy
1982,610,Male,South atlantic,$20000 - 24999,Very happy,Very happy
1982,611,Female,South atlantic,$7000 to 7999,Not too happy,Not applicable
1982,612,Male,South atlantic,$25000 or more,Very happy,Very happy
1982,613,Female,South atlantic,$3000 to 3999,Not too happy,Not applicable
1982,614,Female,South atlantic,$10000 - 14999,Pretty happy,Very happy
1982,615,Female,South atlantic,$8000 to 9999,Not too happy,Not applicable
1982,616,Female,Middle atlantic,$15000 - 19999,Pretty happy,Not too happy
1982,617,Male,E. nor. central,$8000 to 9999,Pretty happy,Very happy
1982,618,Male,South atlantic,$7000 to 7999,Pretty happy,Pretty happy
1982,619,Male,Middle atlantic,$4000 to 4999,Very happy,Not applicable
1982,620,Female,Middle atlantic,$3000 to 3999,Very happy,Not applicable
1982,621,Female,South atlantic,$25000 or more,Pretty happy,Very happy
1982,622,Female,South atlantic,$6000 to 6999,Pretty happy,Not applicable
1982,623,Male,South atlantic,$25000 or more,Very happy,Very happy
1982,624,Female,South atlantic,$25000 or more,Very happy,Very happy
1982,625,Female,E. nor. central,$10000 - 14999,Pretty happy,Not applicable
1982,626,Female,South atlantic,$15000 - 19999,Very happy,Very happy
1982,627,Male,South atlantic,$25000 or more,Pretty happy,Not applicable
1982,628,Female,South atlantic,$25000 or more,Very happy,Very happy
1982,629,Male,New england,$7000 to 7999,Very happy,Not applicable
1982,630,Female,South atlantic,$8000 to 9999,Very happy,Pretty happy
1982,631,Female,Middle atlantic,Don't know,Not too happy,Not applicable
1982,632,Female,South atlantic,$20000 - 24999,Pretty happy,Not applicable
1982,633,Female,New england,$15000 - 19999,Pretty happy,Pretty happy
1982,634,Female,New england,$15000 - 19999,Pretty happy,Pretty happy
1982,635,Male,Foreign,$10000 - 14999,Pretty happy,Pretty happy
1982,636,Female,Pacific,$10000 - 14999,Pretty happy,Pretty happy
1982,637,Male,W. sou. central,$10000 - 14999,Pretty happy,Very happy
1982,638,Female,Pacific,$8000 to 9999,Not too happy,Very happy
1982,639,Male,Pacific,$10000 - 14999,Pretty happy,Not applicable
1982,640,Female,Pacific,$1000 to 2999,Pretty happy,Not applicable
1982,641,Female,Pacific,$25000 or more,Pretty happy,Pretty happy
1982,642,Female,E. nor. central,$7000 to 7999,Pretty happy,Not applicable
1982,643,Male,E. nor. central,$10000 - 14999,Pretty happy,Not applicable
1982,644,Male,E. nor. central,$15000 - 19999,Pretty happy,Not applicable
1982,645,Female,E. nor. central,$25000 or more,Very happy,Very happy
1982,646,Female,E. nor. central,$10000 - 14999,Very happy,Very happy
1982,647,Male,E. nor. central,$15000 - 19999,Pretty happy,Very happy
1982,648,Male,E. nor. central,$20000 - 24999,Very happy,Very happy
1982,649,Female,E. nor. central,$15000 - 19999,Very happy,Very happy
1982,650,Male,E. nor. central,$15000 - 19999,Very happy,Pretty happy
1982,651,Male,E. nor. central,$5000 to 5999,Not too happy,Not applicable
1982,652,Male,E. nor. central,$25000 or more,Very happy,Very happy
1982,653,Female,E. nor. central,Lt $1000,Not too happy,Pretty happy
1982,654,Male,E. nor. central,$7000 to 7999,Not too happy,Pretty happy
1982,655,Male,E. nor. central,$8000 to 9999,Very happy,Not applicable
1982,656,Female,W. nor. central,$1000 to 2999,Not too happy,Not applicable
1982,657,Female,E. nor. central,$15000 - 19999,Pretty happy,Pretty happy
1982,658,Female,W. nor. central,$10000 - 14999,Pretty happy,Very happy
1982,659,Female,E. nor. central,$4000 to 4999,Pretty happy,Very happy
1982,660,Male,E. nor. central,$20000 - 24999,Very happy,Very happy
1982,661,Male,W. nor. central,$15000 - 19999,Very happy,Very happy
1982,662,Female,E. nor. central,$1000 to 2999,Very happy,Not applicable
1982,663,Male,E. nor. central,$10000 - 14999,Pretty happy,Very happy
1982,664,Female,E. nor. central,Refused,Very happy,Very happy
1982,665,Female,W. nor. central,$4000 to 4999,Pretty happy,Not applicable
1982,666,Female,W. nor. central,Don't know,Pretty happy,Very happy
1982,667,Male,E. nor. central,$25000 or more,Pretty happy,Pretty happy
1982,668,Female,W. nor. central,$7000 to 7999,Very happy,Not applicable
1982,669,Male,E. nor. central,$4000 to 4999,Not too happy,Not applicable
1982,670,Female,W. nor. central,$15000 - 19999,Pretty happy,Very happy
1982,671,Female,E. nor. central,$10000 - 14999,Very happy,Very happy
1982,672,Male,E. nor. central,$10000 - 14999,Very happy,Very happy
1982,673,Female,W. nor. central,Lt $1000,Pretty happy,Very happy
1982,674,Female,W. nor. central,$25000 or more,Pretty happy,Pretty happy
1982,675,Female,W. nor. central,$8000 to 9999,Very happy,Very happy
1982,676,Male,W. nor. central,Don't know,Very happy,Very happy
1982,677,Female,W. nor. central,$10000 - 14999,Very happy,Very happy
1982,678,Female,W. nor. central,$15000 - 19999,Very happy,Very happy
1982,679,Male,W. nor. central,$4000 to 4999,Very happy,Not applicable
1982,680,Female,W. nor. central,$10000 - 14999,Pretty happy,Pretty happy
1982,681,Female,W. nor. central,$1000 to 2999,Pretty happy,Not applicable
1982,682,Female,W. nor. central,Don't know,Very happy,Not applicable
1982,683,Female,E. nor. central,$8000 to 9999,Pretty happy,Pretty happy
1982,684,Female,South atlantic,$25000 or more,Very happy,Very happy
1982,685,Male,South atlantic,$20000 - 24999,Not too happy,Not applicable
1982,686,Female,South atlantic,$3000 to 3999,Not too happy,Not applicable
1982,687,Female,South atlantic,Don't know,Pretty happy,Not applicable
1982,688,Male,South atlantic,$4000 to 4999,Pretty happy,Not applicable
1982,689,Male,South atlantic,$25000 or more,Pretty happy,Very happy
1982,690,Male,South atlantic,$20000 - 24999,Pretty happy,Very happy
1982,691,Female,South atlantic,$3000 to 3999,Pretty happy,Not applicable
1982,692,Male,South atlantic,$6000 to 6999,Pretty happy,Very happy
1982,693,Female,Middle atlantic,No answer,Very happy,Very happy
1982,694,Male,South atlantic,Refused,Pretty happy,Very happy
1982,695,Female,W. sou. central,$25000 or more,Very happy,Not applicable
1982,696,Female,E. nor. central,$1000 to 2999,Very happy,Not applicable
1982,697,Female,W. sou. central,$6000 to 6999,Pretty happy,Not applicable
1982,698,Female,W. sou. central,$10000 - 14999,Not too happy,Not applicable
1982,699,Male,W. sou. central,$25000 or more,Very happy,Very happy
1982,700,Female,W. sou. central,$8000 to 9999,Very happy,Very happy
1982,701,Female,W. sou. central,$1000 to 2999,Not too happy,Not applicable
1982,702,Female,W. sou. central,$1000 to 2999,Pretty happy,Very happy
1982,703,Male,W. sou. central,$10000 - 14999,Pretty happy,Not applicable
1982,704,Male,W. sou. central,$5000 to 5999,Pretty happy,Pretty happy
1982,705,Male,W. sou. central,$15000 - 19999,Very happy,Very happy
1982,706,Male,South atlantic,$5000 to 5999,Not too happy,Not applicable
1982,707,Female,South atlantic,$5000 to 5999,Pretty happy,Pretty happy
1982,708,Female,South atlantic,$10000 - 14999,Pretty happy,Very happy
1982,709,Male,South atlantic,$25000 or more,Very happy,Very happy
1982,710,Female,South atlantic,$10000 - 14999,Very happy,Pretty happy
1982,711,Female,South atlantic,Don't know,Pretty happy,Not applicable
1982,712,Male,South atlantic,$20000 - 24999,Pretty happy,Very happy
1982,713,Male,South atlantic,$15000 - 19999,Very happy,Very happy
1982,714,Female,South atlantic,$8000 to 9999,Very happy,Very happy
1982,715,Male,South atlantic,$25000 or more,Very happy,Not applicable
1982,716,Female,South atlantic,No answer,Pretty happy,Not applicable
1982,717,Male,South atlantic,$10000 - 14999,Pretty happy,Not applicable
1982,718,Male,South atlantic,$8000 to 9999,Not too happy,Not applicable
1982,719,Male,South atlantic,$7000 to 7999,Very happy,Not applicable
1982,720,Male,South atlantic,$25000 or more,Very happy,Very happy
1982,721,Female,South atlantic,$3000 to 3999,Pretty happy,Not applicable
1982,722,Female,E. sou. central,$1000 to 2999,Not too happy,Not applicable
1982,723,Female,E. sou. central,$3000 to 3999,Very happy,Not applicable
1982,724,Female,E. sou. central,$1000 to 2999,Pretty happy,Not applicable
1982,725,Male,E. sou. central,$7000 to 7999,Pretty happy,Pretty happy
1982,726,Female,E. sou. central,$10000 - 14999,Very happy,Very happy
1982,727,Female,E. sou. central,$25000 or more,Pretty happy,Very happy
1982,728,Female,E. sou. central,$4000 to 4999,Pretty happy,No answer
1982,729,Male,E. sou. central,$20000 - 24999,Pretty happy,Not applicable
1982,730,Male,E. sou. central,$1000 to 2999,Not too happy,Not applicable
1982,731,Female,E. sou. central,Don't know,Very happy,Very happy
1982,732,Male,E. sou. central,$25000 or more,Pretty happy,Pretty happy
1982,733,Female,E. sou. central,$10000 - 14999,Very happy,Very happy
1982,734,Female,E. sou. central,$1000 to 2999,Not too happy,Not applicable
1982,735,Female,E. sou. central,$6000 to 6999,Pretty happy,Not applicable
1982,736,Male,E. sou. central,$15000 - 19999,Pretty happy,Very happy
1982,737,Male,E. sou. central,$8000 to 9999,Not too happy,Not applicable
1982,738,Female,New england,$5000 to 5999,Pretty happy,Not applicable
1982,739,Female,New england,$10000 - 14999,Pretty happy,Pretty happy
1982,740,Female,New england,$25000 or more,Pretty happy,Very happy
1982,741,Female,W. nor. central,$15000 - 19999,Pretty happy,Not applicable
1982,742,Female,Middle atlantic,$25000 or more,Pretty happy,Pretty happy
1982,743,Female,E. nor. central,$15000 - 19999,Not too happy,Pretty happy
1982,744,Female,New england,$15000 - 19999,Pretty happy,Not applicable
1982,745,Female,New england,$10000 - 14999,Pretty happy,Not applicable
1982,746,Female,New england,$8000 to 9999,Not too happy,Pretty happy
1982,747,Male,New england,$20000 - 24999,Pretty happy,Very happy
1982,748,Female,Middle atlantic,$6000 to 6999,Not too happy,Not too happy
1982,749,Female,New england,$25000 or more,Pretty happy,Not applicable
1982,750,Male,Foreign,$25000 or more,Pretty happy,Very happy
1982,751,Female,New england,$25000 or more,Very happy,Very happy
1982,752,Male,E. nor. central,$25000 or more,Very happy,Very happy
1982,753,Female,New england,$25000 or more,Pretty happy,Very happy
1982,754,Male,New england,$20000 - 24999,Very happy,Very happy
1982,755,Male,Pacific,$25000 or more,Very happy,Pretty happy
1982,756,Female,Middle atlantic,Refused,Very happy,Not applicable
1982,757,Female,South atlantic,$6000 to 6999,Pretty happy,Not applicable
1982,758,Female,New england,$10000 - 14999,Not too happy,Not applicable
1982,759,Female,South atlantic,$15000 - 19999,Not too happy,Not applicable
1982,760,Female,W. sou. central,$20000 - 24999,Very happy,Not applicable
1982,761,Male,Middle atlantic,$25000 or more,Not too happy,Not applicable
1982,762,Male,Middle atlantic,$25000 or more,Very happy,Very happy
1982,763,Female,Middle atlantic,$25000 or more,Very happy,Very happy
1982,764,Male,Middle atlantic,$25000 or more,Very happy,Very happy
1982,765,Male,Middle atlantic,$25000 or more,Pretty happy,Pretty happy
1982,766,Male,Foreign,$8000 to 9999,Very happy,Very happy
1982,767,Male,Middle atlantic,Don't know,Very happy,Not applicable
1982,768,Female,Foreign,Refused,Very happy,Very happy
1982,769,Male,Middle atlantic,$15000 - 19999,Pretty happy,Not applicable
1982,770,Male,Middle atlantic,$20000 - 24999,Very happy,Very happy
1982,771,Male,Middle atlantic,$10000 - 14999,Very happy,Very happy
1982,772,Male,New england,$25000 or more,Very happy,Very happy
1982,773,Female,Middle atlantic,$20000 - 24999,Pretty happy,Very happy
1982,774,Female,Middle atlantic,$4000 to 4999,Not too happy,Not applicable
1982,775,Female,W. nor. central,Don't know,Not too happy,Not applicable
1982,776,Female,Middle atlantic,$25000 or more,Not too happy,Not applicable
1982,777,Male,Middle atlantic,$25000 or more,Very happy,Very happy
1982,778,Female,Middle atlantic,$15000 - 19999,Pretty happy,Not applicable
1982,779,Male,Foreign,$5000 to 5999,Pretty happy,Not applicable
1982,780,Female,Middle atlantic,$25000 or more,Pretty happy,Very happy
1982,781,Female,Middle atlantic,$25000 or more,Very happy,Very happy
1982,782,Male,Middle atlantic,$25000 or more,Not too happy,Pretty happy
1982,783,Male,Middle atlantic,$25000 or more,Very happy,Very happy
1982,784,Female,Middle atlantic,$4000 to 4999,Not too happy,Not applicable
1982,785,Female,Foreign,$10000 - 14999,Pretty happy,Not applicable
1982,786,Female,Middle atlantic,$25000 or more,Pretty happy,Very happy
1982,787,Female,Foreign,$15000 - 19999,Very happy,Not applicable
1982,788,Male,Foreign,Refused,Pretty happy,Not applicable
1982,789,Female,Middle atlantic,Refused,Not too happy,Not applicable
1982,790,Male,Foreign,$8000 to 9999,Very happy,Very happy
1982,791,Male,Foreign,$20000 - 24999,Very happy,Very happy
1982,792,Female,Middle atlantic,$4000 to 4999,Pretty happy,Not applicable
1982,793,Male,Foreign,$10000 - 14999,Not too happy,Not applicable
1982,794,Male,E. nor. central,Refused,Very happy,Not applicable
1982,795,Male,Middle atlantic,$25000 or more,Very happy,Very happy
1982,796,Female,Middle atlantic,$20000 - 24999,Pretty happy,Pretty happy
1982,797,Female,Middle atlantic,$3000 to 3999,Pretty happy,Not applicable
1982,798,Female,Middle atlantic,Refused,Pretty happy,Very happy
1982,799,Female,Middle atlantic,Don't know,Pretty happy,Pretty happy
1982,800,Female,Middle atlantic,$3000 to 3999,Not too happy,Not applicable
1982,801,Female,Middle atlantic,$3000 to 3999,Pretty happy,Not applicable
1982,802,Female,Middle atlantic,$25000 or more,Pretty happy,Pretty happy
1982,803,Female,Middle atlantic,Don't know,Not too happy,Not too happy
1982,804,Female,Middle atlantic,Don't know,Pretty happy,Not applicable
1982,805,Female,W. nor. central,$25000 or more,Very happy,Very happy
1982,806,Male,Middle atlantic,$20000 - 24999,Very happy,Very happy
1982,807,Female,Middle atlantic,$4000 to 4999,Pretty happy,Not applicable
1982,808,Female,Middle atlantic,$25000 or more,Very happy,Very happy
1982,809,Female,Middle atlantic,$10000 - 14999,Pretty happy,Pretty happy
1982,810,Male,Middle atlantic,Refused,Pretty happy,Very happy
1982,811,Male,E. sou. central,$25000 or more,Pretty happy,Not applicable
1982,812,Female,South atlantic,$20000 - 24999,Very happy,Not applicable
1982,813,Female,Middle atlantic,$20000 - 24999,Pretty happy,Not applicable
1982,814,Female,Middle atlantic,$25000 or more,Pretty happy,Very happy
1982,815,Male,Middle atlantic,$15000 - 19999,Pretty happy,Not applicable
1982,816,Female,E. sou. central,$10000 - 14999,Pretty happy,Not applicable
1982,817,Male,Pacific,Lt $1000,Pretty happy,Not applicable
1982,818,Female,Middle atlantic,Don't know,Pretty happy,Not applicable
1982,819,Male,Middle atlantic,$10000 - 14999,Pretty happy,Not applicable
1982,820,Female,Middle atlantic,$5000 to 5999,Pretty happy,Not applicable
1982,821,Female,Middle atlantic,$25000 or more,Not too happy,Not too happy
1982,822,Female,South atlantic,$10000 - 14999,Pretty happy,Very happy
1982,823,Male,Middle atlantic,$25000 or more,Pretty happy,Very happy
1982,824,Female,Middle atlantic,$25000 or more,Very happy,Very happy
1982,825,Female,Middle atlantic,Refused,Pretty happy,Not applicable
1982,826,Female,Middle atlantic,$15000 - 19999,Very happy,Very happy
1982,827,Female,Middle atlantic,$20000 - 24999,Very happy,Not applicable
1982,828,Male,Middle atlantic,Refused,Very happy,Very happy
1982,829,Male,Middle atlantic,$25000 or more,Not too happy,Not too happy
1982,830,Female,Middle atlantic,$25000 or more,Very happy,Very happy
1982,831,Female,Middle atlantic,Refused,Not too happy,Pretty happy
1982,832,Female,Middle atlantic,$8000 to 9999,Not too happy,Very happy
1982,833,Male,Middle atlantic,$25000 or more,Pretty happy,Pretty happy
1982,834,Male,Middle atlantic,$20000 - 24999,Pretty happy,Pretty happy
1982,835,Female,Middle atlantic,$15000 - 19999,Very happy,Not applicable
1982,836,Female,Middle atlantic,$25000 or more,Pretty happy,Not applicable
1982,837,Female,Middle atlantic,$25000 or more,Pretty happy,Not too happy
1982,838,Male,Middle atlantic,$25000 or more,Very happy,Very happy
1982,839,Female,Middle atlantic,$25000 or more,Very happy,Very happy
1982,840,Male,Middle atlantic,Refused,Pretty happy,Very happy
1982,841,Male,Middle atlantic,Don't know,Pretty happy,Not applicable
1982,842,Male,E. nor. central,$25000 or more,Pretty happy,Pretty happy
1982,843,Male,Middle atlantic,$25000 or more,Very happy,Very happy
1982,844,Female,E. nor. central,$25000 or more,Pretty happy,Very happy
1982,845,Female,Middle atlantic,$25000 or more,Pretty happy,Pretty happy
1982,846,Male,Pacific,$25000 or more,Pretty happy,Pretty happy
1982,847,Female,Middle atlantic,Refused,Very happy,Very happy
1982,848,Male,Middle atlantic,Refused,Pretty happy,Not applicable
1982,849,Female,Foreign,$1000 to 2999,Not too happy,Not applicable
1982,850,Male,Middle atlantic,$20000 - 24999,Pretty happy,Not applicable
1982,851,Male,Foreign,$20000 - 24999,Pretty happy,Pretty happy
1982,852,Male,Middle atlantic,$5000 to 5999,Pretty happy,Very happy
1982,853,Male,Middle atlantic,$25000 or more,Very happy,Pretty happy
1982,854,Female,Middle atlantic,Refused,Very happy,Not applicable
1982,855,Female,E. nor. central,$25000 or more,Very happy,Very happy
1982,856,Female,E. nor. central,Refused,Very happy,Very happy
1982,857,Male,Middle atlantic,$25000 or more,Pretty happy,Very happy
1982,858,Male,E. nor. central,$25000 or more,Pretty happy,Pretty happy
1982,859,Male,Middle atlantic,$25000 or more,Very happy,Very happy
1982,860,Female,Middle atlantic,$25000 or more,Pretty happy,Pretty happy
1982,861,Male,Middle atlantic,$25000 or more,Pretty happy,Pretty happy
1982,862,Female,Middle atlantic,$10000 - 14999,Not too happy,Not applicable
1982,863,Male,Pacific,$25000 or more,Very happy,Not applicable
1982,864,Male,Middle atlantic,$8000 to 9999,Very happy,Not applicable
1982,865,Female,Middle atlantic,$25000 or more,Very happy,Very happy
1982,866,Male,Middle atlantic,$25000 or more,Pretty happy,Very happy
1982,867,Male,Foreign,$25000 or more,Very happy,Very happy
1982,868,Female,Foreign,$15000 - 19999,Very happy,Very happy
1982,869,Male,Middle atlantic,$15000 - 19999,Not too happy,Not applicable
1982,870,Male,Middle atlantic,$25000 or more,Not too happy,Very happy
1982,871,Male,Middle atlantic,$10000 - 14999,Not too happy,Pretty happy
1982,872,Female,E. nor. central,$8000 to 9999,Not too happy,Not applicable
1982,873,Male,South atlantic,$15000 - 19999,Not too happy,Not applicable
1982,874,Male,E. nor. central,$25000 or more,Very happy,Very happy
1982,875,Male,W. nor. central,$20000 - 24999,Pretty happy,Pretty happy
1982,876,Male,E. nor. central,$25000 or more,Pretty happy,Very happy
1982,877,Female,E. nor. central,$25000 or more,Very happy,Very happy
1982,878,Female,E. nor. central,$25000 or more,Very happy,Very happy
1982,879,Female,Foreign,$25000 or more,Pretty happy,Pretty happy
1982,880,Male,W. nor. central,$25000 or more,Pretty happy,Not applicable
1982,881,Female,E. nor. central,$8000 to 9999,Pretty happy,Pretty happy
1982,882,Male,E. nor. central,$25000 or more,Pretty happy,Very happy
1982,883,Female,E. nor. central,$25000 or more,Pretty happy,Pretty happy
1982,884,Female,Pacific,Refused,Pretty happy,Pretty happy
1982,885,Male,E. nor. central,$25000 or more,Not too happy,Not too happy
1982,886,Female,E. nor. central,$25000 or more,Pretty happy,Not applicable
1982,887,Female,E. nor. central,$20000 - 24999,Pretty happy,Not applicable
1982,888,Male,E. nor. central,$5000 to 5999,Pretty happy,Not applicable
1982,889,Female,E. nor. central,Refused,Very happy,Very happy
1982,890,Male,E. nor. central,$15000 - 19999,Pretty happy,Not applicable
1982,891,Female,E. nor. central,$15000 - 19999,Very happy,Very happy
1982,892,Male,E. nor. central,$15000 - 19999,Pretty happy,Very happy
1982,893,Female,E. nor. central,$25000 or more,Pretty happy,Very happy
1982,894,Female,E. nor. central,$25000 or more,Pretty happy,Not applicable
1982,895,Female,Foreign,$25000 or more,Pretty happy,Pretty happy
1982,896,Female,E. nor. central,$10000 - 14999,Very happy,Not applicable
1982,897,Male,E. nor. central,$10000 - 14999,Pretty happy,Very happy
1982,898,Female,W. sou. central,$15000 - 19999,Pretty happy,Not applicable
1982,899,Female,E. nor. central,$8000 to 9999,Pretty happy,Not applicable
1982,900,Female,E. nor. central,Refused,Pretty happy,Not applicable
1982,901,Male,E. sou. central,$15000 - 19999,Pretty happy,Pretty happy
1982,902,Male,W. nor. central,$25000 or more,Pretty happy,Pretty happy
1982,903,Male,E. nor. central,Don't know,Pretty happy,Not applicable
1982,904,Female,W. sou. central,$15000 - 19999,Very happy,Pretty happy
1982,905,Male,E. nor. central,Don't know,Pretty happy,Not applicable
1982,906,Female,E. nor. central,$25000 or more,Pretty happy,Pretty happy
1982,907,Female,E. nor. central,$8000 to 9999,Pretty happy,Not applicable
1982,908,Female,Middle atlantic,$10000 - 14999,Not too happy,Not applicable
1982,909,Male,Mountain,$15000 - 19999,Very happy,Very happy
1982,910,Male,E. nor. central,$10000 - 14999,Pretty happy,Pretty happy
1982,911,Female,E. nor. central,Refused,Pretty happy,Not applicable
1982,912,Female,E. nor. central,Refused,Very happy,Not applicable
1982,913,Female,E. nor. central,$25000 or more,Pretty happy,Not applicable
1982,914,Male,E. nor. central,$25000 or more,Pretty happy,Not applicable
1982,915,Male,Middle atlantic,$25000 or more,Pretty happy,Not applicable
1982,916,Male,New england,$20000 - 24999,Pretty happy,Not applicable
1982,917,Male,E. nor. central,$25000 or more,Very happy,Pretty happy
1982,918,Female,E. nor. central,$25000 or more,Very happy,Very happy
1982,919,Female,E. nor. central,$15000 - 19999,Very happy,Very happy
1982,920,Male,E. nor. central,$25000 or more,Pretty happy,Very happy
1982,921,Male,E. nor. central,$25000 or more,Pretty happy,Very happy
1982,922,Female,E. nor. central,$10000 - 14999,Pretty happy,Pretty happy
1982,923,Female,E. nor. central,$20000 - 24999,Pretty happy,Not applicable
1982,924,Female,E. nor. central,$15000 - 19999,Not too happy,Not too happy
1982,925,Female,W. sou. central,$7000 to 7999,Pretty happy,Not applicable
1982,926,Female,E. sou. central,$25000 or more,Pretty happy,Pretty happy
1982,927,Male,E. nor. central,$3000 to 3999,Not too happy,Not applicable
1982,928,Female,E. nor. central,$4000 to 4999,Not too happy,Not applicable
1982,929,Female,E. nor. central,$10000 - 14999,Pretty happy,Not applicable
1982,930,Female,E. nor. central,$15000 - 19999,Pretty happy,Not too happy
1982,931,Male,E. nor. central,$15000 - 19999,Pretty happy,Very happy
1982,932,Female,E. nor. central,$3000 to 3999,Pretty happy,Not applicable
1982,933,Male,E. nor. central,$5000 to 5999,Pretty happy,Not applicable
1982,934,Female,E. nor. central,$20000 - 24999,Pretty happy,Very happy
1982,935,Male,E. nor. central,$15000 - 19999,Pretty happy,Very happy
1982,936,Male,E. nor. central,$15000 - 19999,Pretty happy,Not applicable
1982,937,Female,E. nor. central,$3000 to 3999,Pretty happy,Not applicable
1982,938,Female,E. nor. central,$20000 - 24999,Pretty happy,Not applicable
1982,939,Female,E. nor. central,$3000 to 3999,Very happy,Not applicable
1982,940,Female,W. nor. central,$8000 to 9999,Very happy,Very happy
1982,941,Male,E. nor. central,$25000 or more,Pretty happy,Very happy
1982,942,Female,E. nor. central,$6000 to 6999,Pretty happy,Very happy
1982,943,Male,E. nor. central,$10000 - 14999,Pretty happy,Not applicable
1982,944,Male,E. nor. central,$10000 - 14999,Pretty happy,Not applicable
1982,945,Female,E. nor. central,$10000 - 14999,Very happy,Not applicable
1982,946,Male,E. nor. central,Refused,Pretty happy,Very happy
1982,947,Female,E. nor. central,$10000 - 14999,Pretty happy,Pretty happy
1982,948,Female,E. nor. central,$15000 - 19999,Pretty happy,Not applicable
1982,949,Female,E. nor. central,$10000 - 14999,Pretty happy,Not too happy
1982,950,Male,E. nor. central,$8000 to 9999,Pretty happy,Not applicable
1982,951,Female,E. nor. central,$25000 or more,Pretty happy,Pretty happy
1982,952,Female,E. nor. central,Refused,Very happy,Very happy
1982,953,Male,South atlantic,$20000 - 24999,Pretty happy,Not applicable
1982,954,Male,E. nor. central,$25000 or more,Pretty happy,Very happy
1982,955,Female,South atlantic,$25000 or more,Very happy,Very happy
1982,956,Male,E. nor. central,$25000 or more,Pretty happy,Very happy
1982,957,Female,E. nor. central,$3000 to 3999,Very happy,Not applicable
1982,958,Male,New england,$25000 or more,Not too happy,Pretty happy
1982,959,Female,E. nor. central,$25000 or more,Pretty happy,Not applicable
1982,960,Male,E. nor. central,$8000 to 9999,Pretty happy,Not applicable
1982,961,Female,E. sou. central,$25000 or more,Not too happy,Not too happy
1982,962,Female,E. sou. central,$5000 to 5999,Very happy,Not applicable
1982,963,Female,E. nor. central,$10000 - 14999,Pretty happy,Very happy
1982,964,Male,E. nor. central,$20000 - 24999,Pretty happy,Pretty happy
1982,965,Female,E. nor. central,$25000 or more,Pretty happy,Not applicable
1982,966,Female,E. nor. central,$10000 - 14999,Pretty happy,Not applicable
1982,967,Female,E. nor. central,$6000 to 6999,Pretty happy,Not applicable
1982,968,Male,E. nor. central,$25000 or more,Pretty happy,Pretty happy
1982,969,Male,E. nor. central,$25000 or more,Pretty happy,Pretty happy
1982,970,Male,E. nor. central,$20000 - 24999,Pretty happy,Very happy
1982,971,Female,E. nor. central,$10000 - 14999,Not too happy,Pretty happy
1982,972,Female,E. nor. central,$8000 to 9999,Pretty happy,Not applicable
1982,973,Female,E. nor. central,$20000 - 24999,Pretty happy,Not applicable
1982,974,Female,E. nor. central,$10000 - 14999,Not too happy,Not applicable
1982,975,Male,E. nor. central,$10000 - 14999,Very happy,Very happy
1982,976,Female,E. nor. central,$10000 - 14999,Pretty happy,Not applicable
1982,977,Male,W. nor. central,$25000 or more,Very happy,Very happy
1982,978,Female,E. nor. central,$25000 or more,Very happy,Very happy
1982,979,Female,W. nor. central,$10000 - 14999,Very happy,Not applicable
1982,980,Male,W. nor. central,$1000 to 2999,Very happy,Not applicable
1982,981,Female,W. nor. central,$25000 or more,Very happy,Not applicable
1982,982,Female,W. nor. central,$4000 to 4999,Pretty happy,Not applicable
1982,983,Male,Foreign,$10000 - 14999,Very happy,Very happy
1982,984,Female,W. nor. central,$25000 or more,Very happy,Very happy
1982,985,Male,W. nor. central,$25000 or more,Very happy,Very happy
1982,986,Male,W. nor. central,$7000 to 7999,Pretty happy,Very happy
1982,987,Male,W. sou. central,$8000 to 9999,Not too happy,Very happy
1982,988,Male,W. nor. central,$25000 or more,Pretty happy,Pretty happy
1982,989,Male,W. nor. central,$15000 - 19999,Not too happy,Not applicable
1982,990,Female,W. nor. central,$25000 or more,Very happy,Very happy
1982,991,Female,W. nor. central,$25000 or more,Very happy,Not applicable
1982,992,Female,E. sou. central,$3000 to 3999,Pretty happy,Not applicable
1982,993,Male,W. nor. central,$1000 to 2999,Very happy,Not applicable
1982,994,Female,E. sou. central,$15000 - 19999,Very happy,Very happy
1982,995,Male,W. nor. central,$15000 - 19999,Pretty happy,Not applicable
1982,996,Male,W. nor. central,$8000 to 9999,Pretty happy,Pretty happy
1982,997,Female,W. nor. central,$3000 to 3999,Pretty happy,Not applicable
1982,998,Female,W. nor. central,$10000 - 14999,Not too happy,Not applicable
1982,999,Female,W. nor. central,$4000 to 4999,Very happy,Not applicable
1982,1000,Female,W. nor. central,$5000 to 5999,Pretty happy,Not applicable
1982,1001,Female,W. nor. central,$15000 - 19999,Pretty happy,Very happy
1982,1002,Female,W. nor. central,Don't know,Very happy,Not applicable
1982,1003,Female,W. nor. central,$25000 or more,Pretty happy,Pretty happy
1982,1004,Female,W. nor. central,$20000 - 24999,Very happy,Very happy
1982,1005,Male,W. nor. central,$25000 or more,Pretty happy,Pretty happy
1982,1006,Male,W. nor. central,$25000 or more,Very happy,Very happy
